u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,phi_rad,theta_rad,psi_rad,x_e,y_e,z_e
-0.0353601866,-0.0000000001,-0.2202562547,0.0000000000,-0.0010126109,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9998881417,0.0000000000,-0.0149567563
-0.0000000001,-0.1804833333,-0.0000000000,-0.0285763744,0.0000000000,0.0077380738,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0.0611786582,0.0000000000,-0.7064427659,0.0000000000,-0.0336466724,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0149567569,-0.0000000000,0.9998881415
0.0000000000,1.2713243210,0.0000000000,-1.3458064173,-0.0000000001,0.0554118211,-0.0000000000,0.4999860175,0.0000000000,-0.0037392936,0.0000000000,0.0000000000,0.0000000000
-1.2298176499,0.0000000000,82.2156907068,0.0000000001,-1.1072604866,0.0000000000,-0.0037392936,-0.0000000000,0.4999860175,0.0000000000,0.0000000000,0.0000000000,0.0000000000
-0.0000000000,-84.9904920200,0.0000000000,0.5841627773,0.0000000000,-0.5532902594,-0.0000000000,0.0037392936,-0.0000000000,0.4999860175,0.0000000000,0.0000000000,0.0000000000
-0.1467298826,0.0000000001,19.6194513261,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,169.9952459369,0.0000000000,1.2713599106
0.0000000000,19.6194513262,-0.0000000001,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000007,-1.2713599106,0.0000000000
-19.6194513262,0.0000000000,-0.1467298825,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,-0.0000000000,1.2713599105,0.0000000009,-169.9952459373
0.0000000001,0.1467298826,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,169.9952459374,0.0000000009
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
