t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,u0,u1,u2,u3,u4
0,179.164346,-2.062819113e-18,17.32446601,2.03515013e-22,1.235067292e-16,2.956348955e-22,0.9973222131,-4.885199422e-21,0.07313277877,5.611071877e-21,0,0,-9000,6.938702838e-21,0.02029657185,-3.00609125e-20,0.1288310519,0.1288310519
0.01,179.1620508,-2.062813689e-18,17.31117654,2.035708998e-22,-0.007541688938,2.95574704e-22,0.9973235929,-4.883970466e-21,0.07311395898,5.612563693e-21,1.797731115,-2.38263298e-23,-9000.089993,6.938702838e-21,0.005715317286,-3.00609125e-20,0.1288610326,0.1288610326
0.02,179.1608618,-2.062807962e-18,17.28806424,2.03666984e-22,-0.01294571403,2.955144258e-22,0.9973273374,-4.882559516e-21,0.07306286447,5.614213227e-21,3.595424761,-4.355982524e-23,-9000.180037,6.938702838e-21,-0.005122080084,-3.00609125e-20,0.1288921551,0.1288921551
0.03,179.160455,-2.062801944e-18,17.25809159,2.037969476e-22,-0.01675849216,2.9545169e-22,0.9973327611,-4.881018655e-21,0.07298879155,5.615974884e-21,5.393083134,-5.903211648e-23,-9000.270117,6.938702838e-21,-0.01315999737,-3.00609125e-20,0.1289243465,0.1289243465
0.04,179.1605897,-2.062795637e-18,17.22345798,2.039559015e-22,-0.0193886769,2.953847775e-22,0.9973393535,-4.879386615e-21,0.07289865545,5.617814741e-21,7.190707966,-7.010976409e-23,-9000.360221,6.938702838e-21,-0.01910516662,-3.00609125e-20,0.1289575357,0.1289575357
0.05,179.1610881,-2.062789037e-18,17.18579233,2.041400205e-22,-0.02114182978,2.953124585e-22,0.9973467355,-4.877692145e-21,0.07279759085,5.6197076e-21,8.988300642,-7.668567202e-23,-9000.450338,6.938702838e-21,-0.02348646819,-3.00609125e-20,0.1289916495,0.1289916495
0.06,179.1618188,-2.062782135e-18,17.14629722,2.043462728e-22,-0.02224636562,2.952338704e-22,0.9973546265,-4.875956532e-21,0.07268940123,5.621634793e-21,10.78586228,-7.867267526e-23,-9000.54046,6.938702838e-21,-0.02669967557,-3.00609125e-20,0.1290266128,0.1290266128
0.07,179.1626857,-2.06277492e-18,17.10585675,2.045722184e-22,-0.02287296894,2.951484264e-22,0.9973628198,-4.874195486e-21,0.07257689513,5.623582529e-21,12.58339382,-7.599874554e-23,-9000.630582,6.938702838e-21,-0.02904094092,-3.00609125e-20,0.1290623506,0.1290623506
0.08,179.1636183,-2.062767378e-18,17.06511718,2.048158589e-22,-0.02314912483,2.950557466e-22,0.9973711639,-4.872420551e-21,0.0724621378,5.625540661e-21,14.38089604,-6.860340248e-23,-9000.720696,6.938702838e-21,-0.0307318554,-3.00609125e-20,0.1290987896,0.1290987896
0.09,179.164566,-2.062759493e-18,17.02454733,2.050755262e-22,-0.02316999388,2.949556072e-22,0.9973795485,-4.870640155e-21,0.0723466394,5.627501761e-21,16.17836959,-5.643502398e-23,-9000.8108,6.938702838e-21,-0.03193820476,-3.00609125e-20,0.1291358601,0.1291358601
0.1,179.1654922,-2.062751249e-18,16.98448374,2.053497994e-22,-0.02300655119,2.948479017e-22,0.9973878939,-4.868860408e-21,0.07223149594,5.629460434e-21,17.97581507,-3.944882791e-23,-9000.900888,6.938702838e-21,-0.03278400692,-3.00609125e-20,0.1291734962,0.1291734962
0.11,179.166371,-2.06274263e-18,16.94516444,2.056374419e-22,-0.02271167778,2.94732612e-22,0.9973961434,-4.867085688e-21,0.07211749466,5.631412794e-21,19.77323298,-1.760535548e-23,-9000.990957,6.938702838e-21,-0.03336201842,-3.00609125e-20,0.129211637,0.129211637
0.12,179.1671847,-2.062733617e-18,16.90675427,2.05937356e-22,-0.02232471962,2.946097868e-22,0.9974042572,-4.865319084e-21,0.07200519288,5.633356084e-21,21.5706238,9.130670446e-24,-9001.081004,6.938702838e-21,-0.03374159828,-3.00609125e-20,0.1292502263,0.1292502263
0.13,179.1679211,-2.062724194e-18,16.86936369,2.062485481e-22,-0.02187489973,2.944795254e-22,0.9974122078,-4.863562726e-21,0.07189497695,5.635288385e-21,23.36798793,4.079120637e-23,-9001.171026,6.938702838e-21,-0.03397459399,-3.00609125e-20,0.1292892128,0.1292892128
0.14,179.1685724,-2.062714345e-18,16.83306301,2.065701029e-22,-0.02138387188,2.943419655e-22,0.9974199774,-4.861818036e-21,0.07178710639,5.637208395e-21,25.16532576,7.740553927e-23,-9001.261021,6.938702838e-21,-0.0340997472,-3.00609125e-20,0.1293285495,0.1293285495
0.15,179.1691342,-2.062704051e-18,16.79789288,2.069011645e-22,-0.02086763183,2.941972739e-22,0.9974275548,-4.860085911e-21,0.07168174686,5.639115277e-21,26.96263765,1.190007804e-22,-9001.350986,6.938702838e-21,-0.03414599137,-3.00609125e-20,0.1293681937,0.1293681937
0.16,179.1696039,-2.062693298e-18,16.7638722,2.072409222e-22,-0.02033794765,2.940456399e-22,0.997434934,-4.858366858e-21,0.07157899479,5.641008528e-21,28.75992395,1.656022412e-22,-9001.44092,6.938702838e-21,-0.03413492019,-3.00609125e-20,0.1294081065,0.1294081065
0.17,179.1699812,-2.062682069e-18,16.73100401,2.075886001e-22,-0.01980343013,2.938872697e-22,0.9974421123,-4.856661105e-21,0.0714788958,5.642887899e-21,30.55718498,2.172337209e-22,-9001.530819,6.938702838e-21,-0.03408263517,-3.00609125e-20,0.1294482527,0.1294482527
0.18,179.1702664,-2.062670349e-18,16.69927991,2.079434491e-22,-0.0192703338,2.93722383e-22,0.9974490901,-4.854968672e-21,0.07138145843,5.64475332e-21,32.35442102,2.739177274e-22,-9001.620683,6.938702838e-21,-0.03400112865,-3.00609125e-20,0.1294885999,0.1294885999
0.19,179.170461,-2.062658124e-18,16.66868326,2.083047414e-22,-0.01874315626,2.935512096e-22,0.9974558694,-4.853289431e-21,0.07128666444,5.646604853e-21,34.15163239,3.356756491e-22,-9001.710509,6.938702838e-21,-0.03389931898,-3.00609125e-20,0.1295291187,0.1295291187
0.2,179.170567,-2.062645378e-18,16.6391917,2.086717663e-22,-0.01822508658,2.933739873e-22,0.9974624537,-4.851623148e-21,0.0711944764,5.648442655e-21,35.94881935,4.025278881e-22,-9001.800296,6.938702838e-21,-0.03378382543,-3.00609125e-20,0.1295697823,0.1295697823
0.21,179.1705869,-2.0626321e-18,16.61077892,2.090438271e-22,-0.01771834077,2.931909603e-22,0.9974688473,-4.849969518e-21,0.07110484341,5.650266949e-21,37.74598218,4.744939663e-22,-9001.890042,6.938702838e-21,-0.03365954813,-3.00609125e-20,0.1296105661,0.1296105661
0.22,179.1705232,-2.062618276e-18,16.583416,2.094202392e-22,-0.01722441263,2.930023778e-22,0.9974750551,-4.848328185e-21,0.0710177053,5.652078005e-21,39.54312113,5.515926089e-22,-9001.979745,6.938702838e-21,-0.03353010223,-3.00609125e-20,0.1296514475,0.1296514475
0.23,179.1703789,-2.062603893e-18,16.5570724,2.098003283e-22,-0.01674426132,2.928084928e-22,0.9974810826,-4.846698762e-21,0.0709329958,5.653876125e-21,41.34023646,6.338418128e-22,-9002.069405,6.938702838e-21,-0.03339814278,-3.00609125e-20,0.1296924059,0.1296924059
