t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,u0,u1,u2,u3,u4
0,179.164346,-2.062819113e-18,17.32446601,2.03515013e-22,1.235067292e-16,2.956348955e-22,0.9973222131,-4.885199422e-21,0.07313277877,5.611071877e-21,0,0,-9000,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.01,179.159493,-2.06281367e-18,17.32387749,2.035685805e-22,1.598075257e-08,2.955664865e-22,0.9973222131,-4.884076364e-21,0.0731327788,5.612471502e-21,1.797726033,-2.361176747e-23,-9000.089962,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.02,179.1546398,-2.062807853e-18,17.32329603,2.036607684e-22,6.25738584e-08,2.954830034e-22,0.997322213,-4.88295297e-21,0.07313277898,5.613870721e-21,3.595403201,-4.279502285e-23,-9000.179922,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.03,179.1497865,-2.062801627e-18,17.32272163,2.037905173e-22,1.377602568e-07,2.953845681e-22,0.997322213,-4.881829058e-21,0.07313277947,5.615269445e-21,5.393031513,-5.754704122e-23,-9000.269882,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.04,179.1449331,-2.062794961e-18,17.32215431,2.039567605e-22,2.395279063e-07,2.952713129e-22,0.9973222129,-4.880704448e-21,0.0731327804,5.616667584e-21,7.190610977,-6.786510603e-23,-9000.35984,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.05,179.1400796,-2.062787821e-18,17.32159407,2.041584246e-22,3.658727279e-07,2.951433803e-22,0.9973222128,-4.879578968e-21,0.0731327819,5.618065051e-21,8.988141604,-7.374650929e-23,-9000.449796,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.06,179.1352259,-2.062780176e-18,17.32104091,2.043944301e-22,5.147995348e-07,2.950009229e-22,0.9973222127,-4.87845245e-21,0.07313278408,5.619461761e-21,10.7856234,-7.518855153e-23,-9000.539751,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.07,179.1303722,-2.062771995e-18,17.32049483,2.046636916e-22,6.843229471e-07,2.948441029e-22,0.9973222125,-4.87732473e-21,0.07313278707,5.620857628e-21,12.58305638,-7.218854195e-23,-9000.629704,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.08,179.1255183,-2.062763247e-18,17.31995582,2.049651189e-22,8.724682917e-07,2.946730924e-22,0.9973222122,-4.876195652e-21,0.07313279094,5.622252569e-21,14.38044054,-6.474379845e-23,-9000.719655,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.09,179.1206643,-2.062753902e-18,17.31942386,2.05297617e-22,1.077272487e-06,2.94488073e-22,0.9973222118,-4.875065064e-21,0.07313279579,5.623646502e-21,16.17777591,-5.285164775e-23,-9000.809605,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.1,179.1158102,-2.06274393e-18,17.31889895,2.056600871e-22,1.296784915e-06,2.942892357e-22,0.9973222114,-4.873932819e-21,0.07313280171,5.625039345e-21,17.97506248,-3.650942542e-23,-9000.899552,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.11,179.1109559,-2.062733301e-18,17.31838107,2.060514267e-22,1.529068269e-06,2.940767806e-22,0.9973222109,-4.872798775e-21,0.07313280875,5.626431019e-21,19.77230027,-1.571447599e-23,-9000.989498,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.12,179.1061016,-2.062721988e-18,17.3178702,2.064705305e-22,1.772199401e-06,2.938509169e-22,0.9973222103,-4.871662797e-21,0.07313281698,5.627821447e-21,21.56948928,9.535846962e-24,-9001.079442,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.13,179.1012471,-2.062709962e-18,17.31736632,2.06916291e-22,2.024270135e-06,2.936118624e-22,0.9973222096,-4.870524754e-21,0.07313282644,5.629210551e-21,23.36662952,3.924418073e-23,-9001.169384,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.14,179.0963925,-2.062697196e-18,17.31686939,2.073875986e-22,2.283388078e-06,2.933598438e-22,0.9973222088,-4.869384522e-21,0.07313283718,5.630598256e-21,25.16372101,7.341315342e-23,-9001.259324,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
