time_s,h_m,v_vert_mps,v_horiz_mps,E_total_J,E_drift_rel
0.00000000,3048.00000000,0.00000000,0.00000000,29900.88000000,0.00000000
0.03000000,3047.99558550,0.29430000,0.00000000,29900.88000000,-0.00000000
0.06000000,3047.98234200,0.58860000,0.00000000,29900.88000000,0.00000000
0.09000000,3047.96026950,0.88290000,0.00000000,29900.88000000,0.00000000
0.12000000,3047.92936800,1.17720000,0.00000000,29900.88000000,0.00000000
0.15000000,3047.88963750,1.47150000,0.00000000,29900.88000000,0.00000000
0.18000000,3047.84107800,1.76580000,0.00000000,29900.88000000,0.00000000
0.21000000,3047.78368950,2.06010000,0.00000000,29900.88000000,0.00000000
0.24000000,3047.71747200,2.35440000,0.00000000,29900.88000000,0.00000000
0.27000000,3047.64242550,2.64870000,0.00000000,29900.88000000,0.00000000
0.30000000,3047.55855000,2.94300000,0.00000000,29900.88000000,-0.00000000
0.33000000,3047.46584550,3.23730000,0.00000000,29900.88000000,0.00000000
0.36000000,3047.36431200,3.53160000,0.00000000,29900.88000000,-0.00000000
0.39000000,3047.25394950,3.82590000,0.00000000,29900.88000000,-0.00000000
0.42000000,3047.13475800,4.12020000,0.00000000,29900.88000000,-0.00000000
0.45000000,3047.00673750,4.41450000,0.00000000,29900.88000000,0.00000000
0.48000000,3046.86988800,4.70880000,0.00000000,29900.88000000,-0.00000000
0.51000000,3046.72420950,5.00310000,0.00000000,29900.88000000,-0.00000000
0.54000000,3046.56970200,5.29740000,0.00000000,29900.88000000,-0.00000000
0.57000000,3046.40636550,5.59170000,0.00000000,29900.88000000,0.00000000
0.60000000,3046.23420000,5.88600000,0.00000000,29900.88000000,0.00000000
0.63000000,3046.05320550,6.18030000,0.00000000,29900.88000000,0.00000000
0.66000000,3045.86338200,6.47460000,0.00000000,29900.88000000,0.00000000
0.69000000,3045.66472950,6.76890000,0.00000000,29900.88000000,0.00000000
0.72000000,3045.45724800,7.06320000,0.00000000,29900.88000000,0.00000000
0.75000000,3045.24093750,7.35750000,0.00000000,29900.88000000,0.00000000
0.78000000,3045.01579800,7.65180000,0.00000000,29900.88000000,0.00000000
0.81000000,3044.78182950,7.94610000,0.00000000,29900.88000000,0.00000000
0.84000000,3044.53903200,8.24040000,0.00000000,29900.88000000,-0.00000000
0.87000000,3044.28740550,8.53470000,0.00000000,29900.88000000,0.00000000
0.90000000,3044.02695000,8.82900000,0.00000000,29900.88000000,0.00000000
0.93000000,3043.75766550,9.12330000,0.00000000,29900.88000000,-0.00000000
0.96000000,3043.47955200,9.41760000,0.00000000,29900.88000000,0.00000000
0.99000000,3043.19260950,9.71190000,0.00000000,29900.88000000,0.00000000
1.02000000,3042.89683800,10.00620000,0.00000000,29900.88000000,0.00000000
1.05000000,3042.59223750,10.30050000,0.00000000,29900.88000000,0.00000000
1.08000000,3042.27880800,10.59480000,0.00000000,29900.88000000,0.00000000
1.11000000,3041.95654950,10.88910000,0.00000000,29900.88000000,0.00000000
1.14000000,3041.62546200,11.18340000,0.00000000,29900.88000000,0.00000000
1.17000000,3041.28554550,11.47770000,0.00000000,29900.88000000,-0.00000000
1.20000000,3040.93680000,11.77200000,0.00000000,29900.88000000,-0.00000000
1.23000000,3040.57922550,12.06630000,0.00000000,29900.88000000,0.00000000
1.26000000,3040.21282200,12.36060000,0.00000000,29900.88000000,0.00000000
1.29000000,3039.83758950,12.65490000,0.00000000,29900.88000000,0.00000000
1.32000000,3039.45352800,12.94920000,0.00000000,29900.88000000,0.00000000
1.35000000,3039.06063750,13.24350000,0.00000000,29900.88000000,0.00000000
1.38000000,3038.65891800,13.53780000,0.00000000,29900.88000000,0.00000000
1.41000000,3038.24836950,13.83210000,0.00000000,29900.88000000,0.00000000
1.44000000,3037.82899200,14.12640000,0.00000000,29900.88000000,0.00000000
