time_s,p_rads,q_rads,r_rads,H_inertial_mag,H_drift_rel,T_rot_J,T_drift_rel
0.0000000000,0.1745329252,0.3490658504,0.5235987756,0.0059095438,0.0000000000,0.0018891459,0.0000000000
0.0050000000,0.1740580240,0.3494552130,0.5234161645,0.0059095438,-0.0000000000,0.0018891459,-0.0000000000
0.0100000000,0.1735827598,0.3498433789,0.5232338483,0.0059095438,0.0000000000,0.0018891459,-0.0000000000
0.0150000000,0.1731071345,0.3502303484,0.5230518294,0.0059095438,0.0000000000,0.0018891459,-0.0000000000
0.0200000000,0.1726311497,0.3506161215,0.5228701097,0.0059095438,-0.0000000000,0.0018891459,-0.0000000000
0.0250000000,0.1721548072,0.3510006985,0.5226886913,0.0059095438,0.0000000000,0.0018891459,-0.0000000000
0.0300000000,0.1716781086,0.3513840794,0.5225075764,0.0059095438,0.0000000000,0.0018891459,-0.0000000000
0.0350000000,0.1712010557,0.3517662645,0.5223267670,0.0059095438,0.0000000000,0.0018891459,-0.0000000000
0.0400000000,0.1707236502,0.3521472539,0.5221462653,0.0059095438,-0.0000000000,0.0018891459,-0.0000000000
0.0450000000,0.1702458937,0.3525270479,0.5219660732,0.0059095438,-0.0000000000,0.0018891459,-0.0000000000
0.0500000000,0.1697677880,0.3529056465,0.5217861929,0.0059095438,0.0000000000,0.0018891459,-0.0000000000
0.0550000000,0.1692893347,0.3532830500,0.5216066264,0.0059095438,-0.0000000000,0.0018891459,-0.0000000000
0.0600000000,0.1688105356,0.3536592586,0.5214273758,0.0059095438,-0.0000000000,0.0018891459,-0.0000000000
0.0650000000,0.1683313923,0.3540342724,0.5212484431,0.0059095438,-0.0000000000,0.0018891459,-0.0000000000
0.0700000000,0.1678519064,0.3544080917,0.5210698304,0.0059095438,-0.0000000000,0.0018891459,-0.0000000000
0.0750000000,0.1673720798,0.3547807167,0.5208915397,0.0059095438,-0.0000000000,0.0018891459,-0.0000000000
0.0800000000,0.1668919139,0.3551521475,0.5207135731,0.0059095438,-0.0000000000,0.0018891459,-0.0000000000
0.0850000000,0.1664114105,0.3555223844,0.5205359326,0.0059095438,-0.0000000000,0.0018891459,-0.0000000000
0.0900000000,0.1659305712,0.3558914275,0.5203586201,0.0059095438,-0.0000000000,0.0018891459,-0.0000000000
0.0950000000,0.1654493977,0.3562592772,0.5201816379,0.0059095438,-0.0000000000,0.0018891459,-0.0000000000
