time_s,p_rads,q_rads,r_rads,H_inertial_mag,T_rot_J,T_drift_rel
0.0000000000,0.1745329252,0.3490658504,0.5235987756,0.0059095438,0.0018891459,0.0000000000
0.0050000000,0.1739564801,0.3492891196,0.5231479746,0.0059065678,0.0018872430,-0.0010072489
0.0100000000,0.1733804779,0.3495106625,0.5226978922,0.0059035934,0.0018853422,-0.0020134203
0.0150000000,0.1728049208,0.3497304835,0.5222485292,0.0059006207,0.0018834434,-0.0030185154
0.0200000000,0.1722298106,0.3499485873,0.5217998865,0.0058976496,0.0018815467,-0.0040225357
0.0250000000,0.1716551491,0.3501649783,0.5213519648,0.0058946801,0.0018796520,-0.0050254825
0.0300000000,0.1710809385,0.3503796611,0.5209047650,0.0058917123,0.0018777593,-0.0060273571
0.0350000000,0.1705071804,0.3505926403,0.5204582878,0.0058887460,0.0018758686,-0.0070281610
0.0400000000,0.1699338768,0.3508039203,0.5200125339,0.0058857815,0.0018739800,-0.0080278956
0.0450000000,0.1693610296,0.3510135058,0.5195675042,0.0058828185,0.0018720934,-0.0090265620
0.0500000000,0.1687886405,0.3512214012,0.5191231992,0.0058798572,0.0018702087,-0.0100241618
0.0550000000,0.1682167114,0.3514276110,0.5186796199,0.0058768975,0.0018683261,-0.0110206962
0.0600000000,0.1676452442,0.3516321397,0.5182367668,0.0058739394,0.0018664456,-0.0120161667
0.0650000000,0.1670742406,0.3518349919,0.5177946406,0.0058709830,0.0018645670,-0.0130105746
0.0700000000,0.1665037024,0.3520361720,0.5173532421,0.0058680282,0.0018626904,-0.0140039212
0.0750000000,0.1659336314,0.3522356845,0.5169125718,0.0058650750,0.0018608158,-0.0149962078
0.0800000000,0.1653640293,0.3524335339,0.5164726305,0.0058621234,0.0018589433,-0.0159874359
0.0850000000,0.1647948978,0.3526297248,0.5160334187,0.0058591734,0.0018570727,-0.0169776068
0.0900000000,0.1642262388,0.3528242615,0.5155949370,0.0058562251,0.0018552041,-0.0179667217
0.0950000000,0.1636580538,0.3530171485,0.5151571862,0.0058532783,0.0018533375,-0.0189547821
0.1000000000,0.1630903447,0.3532083903,0.5147201667,0.0058503332,0.0018514729,-0.0199417894
0.1050000000,0.1625231130,0.3533979914,0.5142838791,0.0058473897,0.0018496103,-0.0209277447
0.1100000000,0.1619563605,0.3535859561,0.5138483240,0.0058444478,0.0018477497,-0.0219126495
0.1150000000,0.1613900887,0.3537722890,0.5134135020,0.0058415075,0.0018458910,-0.0228965052
0.1200000000,0.1608242995,0.3539569945,0.5129794136,0.0058385688,0.0018440343,-0.0238793129
0.1250000000,0.1602589942,0.3541400770,0.5125460592,0.0058356318,0.0018421797,-0.0248610742
0.1300000000,0.1596941747,0.3543215409,0.5121134395,0.0058326963,0.0018403269,-0.0258417903
0.1350000000,0.1591298424,0.3545013906,0.5116815549,0.0058297624,0.0018384762,-0.0268214624
0.1400000000,0.1585659990,0.3546796306,0.5112504059,0.0058268302,0.0018366274,-0.0278000921
0.1450000000,0.1580026461,0.3548562653,0.5108199930,0.0058238995,0.0018347806,-0.0287776805
0.1500000000,0.1574397851,0.3550312991,0.5103903166,0.0058209705,0.0018329358,-0.0297542290
0.1550000000,0.1568774177,0.3552047363,0.5099613772,0.0058180430,0.0018310929,-0.0307297390
0.1600000000,0.1563155453,0.3553765813,0.5095331752,0.0058151172,0.0018292520,-0.0317042117
0.1650000000,0.1557541695,0.3555468386,0.5091057110,0.0058121929,0.0018274130,-0.0326776485
0.1700000000,0.1551932918,0.3557155125,0.5086789850,0.0058092703,0.0018255760,-0.0336500507
0.1750000000,0.1546329137,0.3558826074,0.5082529977,0.0058063492,0.0018237409,-0.0346214196
0.1800000000,0.1540730366,0.3560481276,0.5078277494,0.0058034298,0.0018219078,-0.0355917564
0.1850000000,0.1535136620,0.3562120774,0.5074032404,0.0058005119,0.0018200767,-0.0365610627
0.1900000000,0.1529547914,0.3563744613,0.5069794712,0.0057975956,0.0018182475,-0.0375293395
0.1950000000,0.1523964263,0.3565352836,0.5065564421,0.0057946809,0.0018164202,-0.0384965883
0.2000000000,0.1518385679,0.3566945485,0.5061341534,0.0057917678,0.0018145948,-0.0394628103
0.2050000000,0.1512812178,0.3568522605,0.5057126054,0.0057888563,0.0018127715,-0.0404280069
0.2100000000,0.1507243774,0.3570084239,0.5052917985,0.0057859463,0.0018109500,-0.0413921794
0.2150000000,0.1501680479,0.3571630429,0.5048717329,0.0057830380,0.0018091305,-0.0423553290
0.2200000000,0.1496122309,0.3573161219,0.5044524089,0.0057801312,0.0018073129,-0.0433174570
0.2250000000,0.1490569276,0.3574676651,0.5040338268,0.0057772260,0.0018054972,-0.0442785649
0.2300000000,0.1485021395,0.3576176769,0.5036159869,0.0057743224,0.0018036834,-0.0452386537
0.2350000000,0.1479478678,0.3577661615,0.5031988893,0.0057714204,0.0018018716,-0.0461977249
0.2400000000,0.1473941139,0.3579131233,0.5027825344,0.0057685200,0.0018000617,-0.0471557798
0.2450000000,0.1468408790,0.3580585664,0.5023669224,0.0057656211,0.0017982537,-0.0481128196
0.2500000000,0.1462881646,0.3582024952,0.5019520534,0.0057627238,0.0017964476,-0.0490688456
0.2550000000,0.1457359718,0.3583449140,0.5015379277,0.0057598281,0.0017946435,-0.0500238591
0.2600000000,0.1451843020,0.3584858269,0.5011245455,0.0057569339,0.0017928412,-0.0509778614
0.2650000000,0.1446331563,0.3586252381,0.5007119069,0.0057540413,0.0017910409,-0.0519308537
0.2700000000,0.1440825362,0.3587631521,0.5003000122,0.0057511503,0.0017892425,-0.0528828375
0.2750000000,0.1435324427,0.3588995729,0.4998888614,0.0057482609,0.0017874459,-0.0538338138
0.2800000000,0.1429828772,0.3590345048,0.4994784547,0.0057453730,0.0017856513,-0.0547837841
0.2850000000,0.1424338408,0.3591679520,0.4990687922,0.0057424867,0.0017838586,-0.0557327496
0.2900000000,0.1418853347,0.3592999186,0.4986598741,0.0057396020,0.0017820677,-0.0566807115
0.2950000000,0.1413373602,0.3594304090,0.4982517005,0.0057367188,0.0017802788,-0.0576276712
0.3000000000,0.1407899184,0.3595594273,0.4978442715,0.0057338372,0.0017784917,-0.0585736299
