u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,phi_rad,theta_rad,psi_rad,x_e,y_e,z_e
179.1643459994,-0.0000000000,17.3244660122,0.0000000000,0.0000000000,0.0000000000,0.9985853133,-0.0000000000,0.0531730382,0.0000000000,0.0000000000,0.0000000000,-9000.0000000000
179.1624002418,-0.0000000000,17.3242706263,0.0000000000,0.0000000021,0.0000000000,0.9985853133,-0.0000000000,0.0531730382,0.0000000000,3.5998004456,0.0000000000,-9000.0359992851
179.1604544415,-0.0000000000,17.3240803739,0.0000000000,0.0000000067,0.0000000000,0.9985853133,-0.0000000000,0.0531730382,0.0000000000,7.1995617862,0.0000000000,-9000.0719982721
179.1585086044,-0.0000000000,17.3238951987,0.0000000000,0.0000000111,0.0000000000,0.9985853133,-0.0000000000,0.0531730383,0.0000000000,10.7992840318,0.0000000000,-9000.1079968599
179.1565627371,-0.0000000000,17.3237150353,0.0000000000,0.0000000124,0.0000000000,0.9985853133,-0.0000000000,0.0531730384,0.0000000000,14.3989671924,0.0000000000,-9000.1439949482
179.1546168471,-0.0000000000,17.3235398098,0.0000000000,0.0000000082,0.0000000000,0.9985853133,-0.0000000000,0.0531730385,0.0000000000,17.9986112780,0.0000000000,-9000.1799924382
179.1526709426,-0.0000000000,17.3233694400,0.0000000000,-0.0000000041,0.0000000000,0.9985853133,-0.0000000000,0.0531730386,0.0000000000,21.5982162988,0.0000000000,-9000.2159892320
179.1507250327,-0.0000000000,17.3232038356,0.0000000000,-0.0000000269,0.0000000000,0.9985853133,-0.0000000000,0.0531730384,0.0000000000,25.1977822648,0.0000000000,-9000.2519852332
179.1487791274,-0.0000000000,17.3230428988,0.0000000000,-0.0000000627,0.0000000000,0.9985853133,-0.0000000000,0.0531730380,0.0000000000,28.7973091859,0.0000000000,-9000.2879803462
179.1468332371,-0.0000000000,17.3228865244,0.0000000000,-0.0000001138,0.0000000000,0.9985853134,-0.0000000000,0.0531730371,0.0000000000,32.3967970722,0.0000000000,-9000.3239744766
179.1448873734,-0.0000000000,17.3227346006,0.0000000000,-0.0000001825,0.0000000000,0.9985853135,-0.0000000000,0.0531730357,0.0000000000,35.9962459337,0.0000000000,-9000.3599675312
179.1429415480,-0.0000000000,17.3225870086,0.0000000000,-0.0000002708,0.0000000000,0.9985853136,-0.0000000000,0.0531730334,0.0000000000,39.5956557805,0.0000000000,-9000.3959594178
179.1409957738,-0.0000000000,17.3224436238,0.0000000000,-0.0000003809,0.0000000000,0.9985853138,-0.0000000000,0.0531730302,0.0000000000,43.1950266225,0.0000000000,-9000.4319500451
179.1390500641,-0.0000000000,17.3223043158,0.0000000000,-0.0000005148,0.0000000000,0.9985853140,-0.0000000000,0.0531730257,0.0000000000,46.7943584698,0.0000000000,-9000.4679393230
179.1371044326,-0.0000000000,17.3221689486,0.0000000000,-0.0000006743,0.0000000000,0.9985853143,-0.0000000000,0.0531730198,0.0000000000,50.3936513324,0.0000000000,-9000.5039271623
179.1351588941,-0.0000000000,17.3220373813,0.0000000000,-0.0000008613,0.0000000000,0.9985853147,-0.0000000000,0.0531730122,0.0000000000,53.9929052203,0.0000000000,-9000.5399134746
179.1332134633,-0.0000000000,17.3219094685,0.0000000000,-0.0000010774,0.0000000000,0.9985853152,-0.0000000000,0.0531730025,0.0000000000,57.5921201437,0.0000000000,-9000.5758981726
179.1312681560,-0.0000000000,17.3217850603,0.0000000000,-0.0000013244,0.0000000000,0.9985853159,-0.0000000000,0.0531729906,0.0000000000,61.1912961125,0.0000000000,-9000.6118811697
179.1293229881,-0.0000000000,17.3216640032,0.0000000000,-0.0000016037,0.0000000000,0.9985853166,-0.0000000000,0.0531729760,0.0000000000,64.7904331368,0.0000000000,-9000.6478623803
179.1273779761,-0.0000000000,17.3215461402,0.0000000000,-0.0000019167,0.0000000000,0.9985853176,-0.0000000000,0.0531729584,0.0000000000,68.3895312268,0.0000000000,-9000.6838417195
179.1254331369,-0.0000000000,17.3214313110,0.0000000000,-0.0000022648,0.0000000000,0.9985853187,-0.0000000000,0.0531729376,0.0000000000,71.9885903925,0.0000000000,-9000.7198191032
179.1234884877,-0.0000000000,17.3213193530,0.0000000000,-0.0000026492,0.0000000000,0.9985853200,-0.0000000000,0.0531729131,0.0000000000,75.5876106440,0.0000000000,-9000.7557944479
179.1215440461,-0.0000000000,17.3212101011,0.0000000000,-0.0000030710,0.0000000000,0.9985853215,-0.0000000000,0.0531728845,0.0000000000,79.1865919915,0.0000000000,-9000.7917676710
179.1195998302,-0.0000000000,17.3211033881,0.0000000000,-0.0000035314,0.0000000000,0.9985853233,-0.0000000000,0.0531728516,0.0000000000,82.7855344452,0.0000000000,-9000.8277386904
179.1176558580,-0.0000000000,17.3209990457,0.0000000000,-0.0000040311,0.0000000000,0.9985853253,-0.0000000000,0.0531728139,0.0000000000,86.3844380153,0.0000000000,-9000.8637074247
179.1157121480,-0.0000000000,17.3208969040,0.0000000000,-0.0000045710,0.0000000000,0.9985853276,-0.0000000000,0.0531727710,0.0000000000,89.9833027121,0.0000000000,-9000.8996737929
179.1137687190,-0.0000000000,17.3207967925,0.0000000000,-0.0000051519,0.0000000000,0.9985853301,-0.0000000000,0.0531727224,0.0000000000,93.5821285457,0.0000000000,-9000.9356377147
179.1118255899,-0.0000000000,17.3206985403,0.0000000000,-0.0000057745,0.0000000000,0.9985853331,-0.0000000000,0.0531726679,0.0000000000,97.1809155266,0.0000000000,-9000.9715991103
179.1098827796,-0.0000000000,17.3206019763,0.0000000000,-0.0000064391,0.0000000000,0.9985853363,-0.0000000000,0.0531726070,0.0000000000,100.7796636652,0.0000000000,-9001.0075579001
179.1079403074,-0.0000000000,17.3205069297,0.0000000000,-0.0000071464,0.0000000000,0.9985853399,-0.0000000000,0.0531725392,0.0000000000,104.3783729717,0.0000000000,-9001.0435140053
179.1059981924,-0.0000000000,17.3204132303,0.0000000000,-0.0000078966,0.0000000000,0.9985853439,-0.0000000000,0.0531724641,0.0000000000,107.9770434567,0.0000000000,-9001.0794673472
179.1040564540,-0.0000000000,17.3203207088,0.0000000000,-0.0000086900,0.0000000000,0.9985853483,-0.0000000000,0.0531723813,0.0000000000,111.5756751308,0.0000000000,-9001.1154178474
179.1021151116,-0.0000000000,17.3202291972,0.0000000000,-0.0000095268,0.0000000000,0.9985853532,-0.0000000000,0.0531722904,0.0000000000,115.1742680044,0.0000000000,-9001.1513654279
179.1001741845,-0.0000000000,17.3201385289,0.0000000000,-0.0000104070,0.0000000000,0.9985853585,-0.0000000000,0.0531721909,0.0000000000,118.7728220882,0.0000000000,-9001.1873100110
179.0982336921,-0.0000000000,17.3200485394,0.0000000000,-0.0000113305,0.0000000000,0.9985853642,-0.0000000000,0.0531720824,0.0000000000,122.3713373930,0.0000000000,-9001.2232515191
179.0962936536,-0.0000000000,17.3199590662,0.0000000000,-0.0000122974,0.0000000000,0.9985853705,-0.0000000000,0.0531719645,0.0000000000,125.9698139294,0.0000000000,-9001.2591898748
179.0943540882,-0.0000000000,17.3198699491,0.0000000000,-0.0000133074,0.0000000000,0.9985853773,-0.0000000000,0.0531718367,0.0000000000,129.5682517084,0.0000000000,-9001.2951250008
179.0924150151,-0.0000000000,17.3197810310,0.0000000000,-0.0000143602,0.0000000000,0.9985853847,-0.0000000000,0.0531716986,0.0000000000,133.1666507408,0.0000000000,-9001.3310568201
179.0904764532,-0.0000000000,17.3196921575,0.0000000000,-0.0000154555,0.0000000000,0.9985853926,-0.0000000000,0.0531715497,0.0000000000,136.7650110376,0.0000000000,-9001.3669852555
179.0885384213,-0.0000000000,17.3196031773,0.0000000000,-0.0000165929,0.0000000000,0.9985854011,-0.0000000000,0.0531713898,0.0000000000,140.3633326099,0.0000000000,-9001.4029102299
179.0866009380,-0.0000000000,17.3195139427,0.0000000000,-0.0000177718,0.0000000000,0.9985854102,-0.0000000000,0.0531712182,0.0000000000,143.9616154689,0.0000000000,-9001.4388316662
179.0846640217,-0.0000000000,17.3194243099,0.0000000000,-0.0000189916,0.0000000000,0.9985854200,-0.0000000000,0.0531710347,0.0000000000,147.5598596257,0.0000000000,-9001.4747494874
179.0827276907,-0.0000000000,17.3193341385,0.0000000000,-0.0000202517,0.0000000000,0.9985854304,-0.0000000000,0.0531708388,0.0000000000,151.1580650918,0.0000000000,-9001.5106636162
179.0807919629,-0.0000000000,17.3192432926,0.0000000000,-0.0000215515,0.0000000000,0.9985854416,-0.0000000000,0.0531706301,0.0000000000,154.7562318786,0.0000000000,-9001.5465739753
179.0788568559,-0.0000000000,17.3191516405,0.0000000000,-0.0000228900,0.0000000000,0.9985854534,-0.0000000000,0.0531704082,0.0000000000,158.3543599975,0.0000000000,-9001.5824804872
179.0769223871,-0.0000000000,17.3190590548,0.0000000000,-0.0000242664,0.0000000000,0.9985854659,-0.0000000000,0.0531701728,0.0000000000,161.9524494603,0.0000000000,-9001.6183830743
