Time,Altitude_m,Altitude_ft,SoS_ft_s,AirDensity_slugft3,TransVel_ft_s,Mach,AoA_rad,AoA_deg,AoS_rad,AoS_deg,u_NED_ms,v_NED_ms,w_NED_ms,u_NED_fts,v_NED_fts,w_NED_fts,phi_rad,theta_rad,psi_rad,phi_deg,theta_deg,psi_deg,p_rads,q_rads,r_rads,p_degs,q_degs,r_degs
0.0000000000,9000.0000000000,29527.5600000000,996.8765845784,0.0009069480,590.5512000000,0.5924015160,0.0963962535,5.5230984886,-0.0000000000,-0.0000000000,179.9910000750,-0.0000000000,-1.7999700002,590.5216726861,-0.0000000000,-5.9054135753,-0.0000000000,0.1063962535,0.0000000000,-0.0000000000,6.0960562837,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0200000000,9000.0359992851,29527.6781078944,996.8760781515,0.0009069441,590.5447842199,0.5923953811,0.0963962135,5.5230961950,-0.0000000000,-0.0000000000,179.9890445710,0.0000000000,-1.7999576529,590.5152569903,0.0000000000,-5.9053730661,-0.0000000000,0.1063962536,0.0000000000,-0.0000000000,6.0960562846,0.0000000000,0.0000000000,0.0000000021,0.0000000000,0.0000000000,0.0000001230,0.0000000000
0.0400000000,9000.0719982721,29527.7962148112,996.8755717288,0.0009069401,590.5383699217,0.5923892476,0.0963962019,5.5230955292,-0.0000000000,-0.0000000000,179.9870895696,0.0000000000,-1.7999402097,590.5088429436,0.0000000000,-5.9053158375,-0.0000000000,0.1063962536,0.0000000000,-0.0000000000,6.0960562896,0.0000000000,0.0000000000,0.0000000067,0.0000000000,0.0000000000,0.0000003861,0.0000000000
0.0600000000,9000.1079968599,29527.9143204178,996.8750653118,0.0009069362,590.5319571062,0.5923831157,0.0963962184,5.5230964732,-0.0000000000,-0.0000000000,179.9851350706,0.0000000000,-1.7999177309,590.5024305450,0.0000000000,-5.9052420883,-0.0000000000,0.1063962538,0.0000000000,-0.0000000000,6.0960562999,0.0000000000,0.0000000000,0.0000000111,0.0000000000,0.0000000000,0.0000006333,0.0000000000
0.0800000000,9000.1439949482,29528.0324243859,996.8745589017,0.0009069323,590.5255457747,0.5923769851,0.0963962626,5.5230990060,-0.0000000000,-0.0000000000,179.9831810737,0.0000000000,-1.7998902764,590.4960197937,0.0000000000,-5.9051520145,-0.0000000000,0.1063962541,0.0000000000,-0.0000000000,6.0960563138,0.0000000000,0.0000000000,0.0000000124,0.0000000000,0.0000000000,0.0000007116,0.0000000000
0.1000000000,9000.1799924382,29528.1505263908,996.8740525001,0.0009069284,590.5191359282,0.5923708561,0.0963963341,5.5231031042,-0.0000000000,-0.0000000000,179.9812275785,0.0000000000,-1.7998579052,590.4896106888,0.0000000000,-5.9050458098,-0.0000000000,0.1063962543,0.0000000000,-0.0000000000,6.0960563263,0.0000000000,0.0000000000,0.0000000082,0.0000000000,0.0000000000,0.0000004715,0.0000000000
0.1200000000,9000.2159892320,29528.2686261120,996.8735461083,0.0009069245,590.5127275679,0.5923647286,0.0963964325,5.5231087415,-0.0000000000,-0.0000000000,179.9792745850,0.0000000000,-1.7998206754,590.4832032295,0.0000000000,-5.9049236648,-0.0000000000,0.1063962543,0.0000000000,-0.0000000000,6.0960563296,0.0000000000,0.0000000000,-0.0000000041,0.0000000000,0.0000000000,-0.0000002324,0.0000000000
0.1400000000,9000.2519852332,29528.3867232324,996.8730397276,0.0009069206,590.5063206948,0.5923586025,0.0963965572,5.5231158890,-0.0000000000,-0.0000000000,179.9773220928,0.0000000000,-1.7997786440,590.4767974151,0.0000000000,-5.9047857665,-0.0000000000,0.1063962540,0.0000000000,-0.0000000000,6.0960563129,0.0000000000,0.0000000000,-0.0000000269,0.0000000000,0.0000000000,-0.0000015418,0.0000000000
0.1600000000,9000.2879803462,29528.5048174389,996.8725333595,0.0009069167,590.4999153103,0.5923524779,0.0963967078,5.5231245155,-0.0000000000,-0.0000000000,179.9753701019,0.0000000000,-1.7997318671,590.4703932450,0.0000000000,-5.9046322988,-0.0000000000,0.1063962532,0.0000000000,-0.0000000000,6.0960562629,0.0000000000,0.0000000000,-0.0000000627,0.0000000000,0.0000000000,-0.0000035942,0.0000000000
0.1800000000,9000.3239744766,29528.6229084218,996.8720270051,0.0009069128,590.4935114160,0.5923463548,0.0963968836,5.5231345874,-0.0000000000,-0.0000000000,179.9734186120,0.0000000000,-1.7996803993,590.4639907190,0.0000000000,-5.9044634411,-0.0000000000,0.1063962514,0.0000000000,-0.0000000000,6.0960561633,0.0000000000,0.0000000000,-0.0000001138,0.0000000000,0.0000000000,-0.0000065226,0.0000000000
0.2000000000,9000.3599675312,29528.7409958751,996.8715206659,0.0009069089,590.4871090133,0.5923402332,0.0963970840,5.5231460689,-0.0000000000,-0.0000000000,179.9714676232,0.0000000000,-1.7996242941,590.4575898369,0.0000000000,-5.9042793691,-0.0000000000,0.1063962485,0.0000000000,-0.0000000000,6.0960559953,0.0000000000,0.0000000000,-0.0000001825,0.0000000000,0.0000000000,-0.0000104555,0.0000000000
0.2200000000,9000.3959594178,29528.8590794962,996.8710143431,0.0009069049,590.4807081042,0.5923341130,0.0963973083,5.5231589221,-0.0000000000,-0.0000000000,179.9695171355,0.0000000000,-1.7995636038,590.4511905988,0.0000000000,-5.9040802538,-0.0000000000,0.1063962440,0.0000000000,-0.0000000000,6.0960557376,0.0000000000,0.0000000000,-0.0000002708,0.0000000000,0.0000000000,-0.0000155167,0.0000000000
0.2400000000,9000.4319500451,29528.9771589861,996.8705080380,0.0009069010,590.4743086906,0.5923279944,0.0963975559,5.5231731072,-0.0000000000,-0.0000000000,179.9675671490,0.0000000000,-1.7994983789,590.4447930050,0.0000000000,-5.9038662615,-0.0000000000,0.1063962375,0.0000000000,-0.0000000000,6.0960553663,0.0000000000,0.0000000000,-0.0000003809,0.0000000000,0.0000000000,-0.0000218252,0.0000000000
0.2600000000,9000.4679393230,29529.0952340486,996.8700017519,0.0009068971,590.4679107747,0.5923218772,0.0963978260,5.5231885824,-0.0000000000,-0.0000000000,179.9656176638,0.0000000000,-1.7994286688,590.4383970562,0.0000000000,-5.9036375539,-0.0000000000,0.1063962286,0.0000000000,-0.0000000000,6.0960548555,0.0000000000,0.0000000000,-0.0000005148,0.0000000000,0.0000000000,-0.0000294949,0.0000000000
0.2800000000,9000.5039271623,29529.2133043911,996.8694954861,0.0009068932,590.4615143592,0.5923157615,0.0963981178,5.5232053043,-0.0000000000,-0.0000000000,179.9636686804,0.0000000000,-1.7993545211,590.4320027533,0.0000000000,-5.9033942871,-0.0000000000,0.1063962168,0.0000000000,-0.0000000000,6.0960541767,0.0000000000,0.0000000000,-0.0000006743,0.0000000000,0.0000000000,-0.0000386345,0.0000000000
0.3000000000,9000.5399134746,29529.3313697240,996.8689892417,0.0009068893,590.4551194469,0.5923096473,0.0963984307,5.5232232279,-0.0000000000,-0.0000000000,179.9617201990,0.0000000000,-1.7992759818,590.4256100977,0.0000000000,-5.9031366122,-0.0000000000,0.1063962015,0.0000000000,-0.0000000000,6.0960532996,0.0000000000,0.0000000000,-0.0000008613,0.0000000000,0.0000000000,-0.0000493477,0.0000000000
0.3200000000,9000.5758981726,29529.4494297606,996.8684830200,0.0009068854,590.4487260409,0.5923035346,0.0963987636,5.5232423067,-0.0000000000,-0.0000000000,179.9597722202,0.0000000000,-1.7991930953,590.4192190909,0.0000000000,-5.9028646748,-0.0000000000,0.1063961821,0.0000000000,-0.0000000000,6.0960521917,0.0000000000,0.0000000000,-0.0000010774,0.0000000000,0.0000000000,-0.0000617327,0.0000000000
0.3400000000,9000.6118811697,29529.5674842169,996.8679768223,0.0009068815,590.4423341446,0.5922974234,0.0963991159,5.5232624926,-0.0000000000,-0.0000000000,179.9578247446,0.0000000000,-1.7991059042,590.4128297351,0.0000000000,-5.9025786146,-0.0000000000,0.1063961582,0.0000000000,-0.0000000000,6.0960508186,0.0000000000,0.0000000000,-0.0000013244,0.0000000000,0.0000000000,-0.0000758822,0.0000000000
0.3600000000,9000.6478623803,29529.6855328119,996.8674706497,0.0009068776,590.4359437619,0.5922913137,0.0963994867,5.5232837367,-0.0000000000,-0.0000000000,179.9558777730,0.0000000000,-1.7990144492,590.4064420327,0.0000000000,-5.9022785657,-0.0000000000,0.1063961289,0.0000000000,-0.0000000000,6.0960491441,0.0000000000,0.0000000000,-0.0000016037,0.0000000000,0.0000000000,-0.0000918836,0.0000000000
0.3800000000,9000.6838417195,29529.8035752671,996.8669645034,0.0009068737,590.4295548969,0.5922852055,0.0963998751,5.5233059886,-0.0000000000,-0.0000000000,179.9539313062,0.0000000000,-1.7989187696,590.4000559866,0.0000000000,-5.9019646559,-0.0000000000,0.1063960938,0.0000000000,-0.0000000000,6.0960471303,0.0000000000,0.0000000000,-0.0000019167,0.0000000000,0.0000000000,-0.0001098185,0.0000000000
0.4000000000,9000.7198191032,29529.9216113065,996.8664583846,0.0009068698,590.4231675543,0.5922790988,0.0964002802,5.5233291971,-0.0000000000,-0.0000000000,179.9519853453,0.0000000000,-1.7988189023,590.3936716002,0.0000000000,-5.9016370073,-0.0000000000,0.1063960520,0.0000000000,-0.0000000000,6.0960447379,0.0000000000,0.0000000000,-0.0000022648,0.0000000000,0.0000000000,-0.0001297632,0.0000000000
0.4200000000,9000.7557944479,29530.0396406566,996.8659522945,0.0009068659,590.4167817391,0.5922729936,0.0964007010,5.5233533103,-0.0000000000,-0.0000000000,179.9500398914,0.0000000000,-1.7987148826,590.3872888772,0.0000000000,-5.9012957356,-0.0000000000,0.1063960029,0.0000000000,-0.0000000000,6.0960419259,0.0000000000,0.0000000000,-0.0000026492,0.0000000000,0.0000000000,-0.0001517880,0.0000000000
0.4400000000,9000.7917676710,29530.1576630459,996.8654462343,0.0009068619,590.4103974565,0.5922668899,0.0964011367,5.5233782751,-0.0000000000,-0.0000000000,179.9480949458,0.0000000000,-1.7986067440,590.3809078220,0.0000000000,-5.9009409500,-0.0000000000,0.1063959458,0.0000000000,-0.0000000000,6.0960386521,0.0000000000,0.0000000000,-0.0000030710,0.0000000000,0.0000000000,-0.0001759579,0.0000000000
